S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
1,Reliance Inds.,5834367200000.0,998100000000.0
2,TCS,5637098400000.0,309040000000.0
3,HDFC Bank,4829535900000.0,205812700000.0
4,ITC,3209852700000.0,97720200000.0
5,H D F C,2894973700000.0,168405099999.99997
6,Hind. Unilever,2882652600000.0,85900000000.0
7,Maruti Suzuki,2634938100000.0,192832000000.0
8,Infosys,2483203500000.0,177940000000.0
9,O N G C,2399815000000.0,229958800000.0
10,St Bk of India,2327633300000.0,570140800000.0
11,ICICI Bank,2038023500000.0,136653500000.0
12,Kotak Mah. Bank,1992537700000.0,63907100000.0
13,Coal India,1926779800000.0,216432800000.0
14,Larsen & Toubro,1808607400000.0,287474500000.0
15,I O C L,1780174800000.0,1106669300000.0
16,Bharti Airtel,1671312900000.0,203186000000.0
17,Axis Bank,1363807600000.0,117215500000.0
18,NTPC,1353905300000.0,207743700000.0
19,Sun Pharma.Inds.,1342413599999.9998,66532299999.99999
20,Hind.Zinc,1332665600000.0,59220000000.0
21,Wipro,1318405700000.0,136690000000.0
22,HCL Technologies,1263352700000.0,128090000000.0
23,Vedanta,1221841700000.0,243610000000.0
24,Tata Motors,1170718700000.0,741560700000.0001
25,UltraTech Cem.,1136928700000.0,80192400000.0
26,Asian Paints,1080440399999.9999,42605200000.00001
27,Power Grid Corpn,1020160100000.0,75069500000.0
28,B P C L,982780000000.0,606163600000.0
29,IndusInd Bank,973799600000.0001,42867800000.0
30,Bajaj Fin.,944767700000.0,35406300000.0
31,Bajaj Auto,882526000000.0,63693400000.0
32,M & M,881423500000.0,115777800000.0
33,HDFC Stand. Life,873582300000.0,97349000000.0
34,Adani Ports,817818900000.0,26888500000.0
35,Bajaj Finserv,797951100000.0,76654000000.0
36,GAIL (India),786709700000.0,144143400000.0
37,Avenue Super.,740663500000.0,40948200000.0
38,Titan Company,738860000000.0,42748400000.0
39,JSW Steel,738702600000.0,178610000000.0
40,Grasim Inds,735326200000.0,152914200000.0
41,Tata Steel,733761400000.0,324641400000.0
42,Eicher Motors,733114100000.0,22690100000.000004
43,Nestle India,730154900000.0,26014600000.0
44,Godrej Consumer,718598200000.0001,26303000000.0
45,Yes Bank,710281300000.0,50703000000.0
46,Hero Motocorp,694486600000.0,73054900000.0
47,Motherson Sumi,685903300000.0,143978500000.0
48,SBI Life Insuran,674650000000.0,95699700000.0
49,General Insuranc,663163200000.0001,85576800000.0
50,Bharti Infra.,617769200000.0,
51,Dabur India,600150000000.0,19664400000.0
52,Bosch,592042800000.0,30719200000.0
53,Shree Cement,589870800000.0,22962300000.0
54,New India Assura,581084800000.0,50740200000.00001
55,H P C L,580347800000.0,574742500000.0
56,ICICI Pru Life,577489800000.0,135553200000.0
